ENSG00000251562	MALAT1
ENSG00000205542	TMSB4X
ENSG00000177954	RPS27
ENSG00000166710	B2M
ENSG00000156508	EEF1A1
ENSG00000147403	RPL10
ENSG00000229117	RPL41
ENSG00000109475	RPL34
ENSG00000122026	RPL21
ENSG00000167526	RPL13
ENSG00000142541	RPL13A
ENSG00000231500	RPS18
ENSG00000137818	RPLP1
ENSG00000198804	MT-CO1
ENSG00000075624	ACTB
ENSG00000198918	RPL39
ENSG00000140988	RPS2
ENSG00000213741	RPS29
ENSG00000144713	RPL32
ENSG00000112306	RPS12
ENSG00000164587	RPS14
ENSG00000137154	RPS6
ENSG00000177600	RPLP2
ENSG00000134419	RPS15A
ENSG00000087086	FTL
ENSG00000145425	RPS3A
ENSG00000143947	RPS27A
ENSG00000105640	RPL18A
ENSG00000034510	TMSB10
ENSG00000142676	RPL11
ENSG00000198938	MT-CO3
ENSG00000105372	RPS19
ENSG00000100316	RPL3
ENSG00000233927	RPS28
ENSG00000161970	RPL26
ENSG00000108107	RPL28
ENSG00000198712	MT-CO2
ENSG00000234745	HLA-B
ENSG00000149273	RPS3
ENSG00000166441	RPL27A
ENSG00000108298	RPL19
ENSG00000019582	CD74
ENSG00000186468	RPS23
ENSG00000147604	RPL7
ENSG00000198242	RPL23A
ENSG00000115268	RPS15
ENSG00000167996	FTH1
ENSG00000142937	RPS8
ENSG00000133112	TPT1
ENSG00000110700	RPS13
ENSG00000182899	RPL35A
ENSG00000163682	RPL9
ENSG00000197958	RPL12
ENSG00000071082	RPL31
ENSG00000198034	RPS4X
ENSG00000138326	RPS24
ENSG00000174748	RPL15
ENSG00000118181	RPS25
ENSG00000145592	RPL37
ENSG00000090382	LYZ
ENSG00000156482	RPL30
ENSG00000161016	RPL8
ENSG00000130255	RPL36
ENSG00000198886	MT-ND4
ENSG00000197756	RPL37A
ENSG00000170889	RPS9
ENSG00000105193	RPS16
ENSG00000204287	HLA-DRA
ENSG00000187514	PTMA
ENSG00000136942	RPL35
ENSG00000089009	RPL6
ENSG00000198755	RPL10A
ENSG00000063177	RPL18
ENSG00000198763	MT-ND2
ENSG00000182774	RPS17
ENSG00000198840	MT-ND3
ENSG00000008988	RPS20
ENSG00000162244	RPL29
ENSG00000163220	S100A9
ENSG00000171863	RPS7
ENSG00000204525	HLA-C
ENSG00000083845	RPS5
ENSG00000149806	FAU
ENSG00000188846	RPL14
ENSG00000131469	RPL27
ENSG00000172809	RPL38
ENSG00000198899	MT-ATP6
ENSG00000143546	S100A8
ENSG00000170345	FOS
ENSG00000122406	RPL5
ENSG00000206503	HLA-A
ENSG00000196154	S100A4
ENSG00000148303	RPL7A
ENSG00000221983	UBA52
ENSG00000204628	GNB2L1
ENSG00000168028	RPSA
ENSG00000198727	MT-CYB
ENSG00000171223	JUNB
ENSG00000171858	RPS21
ENSG00000173812	EIF1
ENSG00000124614	RPS10
ENSG00000142534	RPS11
ENSG00000174444	RPL4
ENSG00000116251	RPL22
ENSG00000169442	CD52
ENSG00000197956	S100A6
ENSG00000198888	MT-ND1
ENSG00000101439	CST3
ENSG00000089157	RPLP0
ENSG00000108518	PFN1
ENSG00000132475	H3F3B
ENSG00000196531	NACA
ENSG00000114391	RPL24
ENSG00000196126	HLA-DRB1
ENSG00000070756	PABPC1
ENSG00000241343	RPL36A
ENSG00000125691	RPL23
ENSG00000184009	ACTG1
ENSG00000163041	H3F3A
ENSG00000223865	HLA-DPB1
ENSG00000123349	PFDN5
ENSG00000124172	ATP5E
ENSG00000167658	EEF2
ENSG00000172757	CFL1
ENSG00000135486	HNRNPA1
ENSG00000140264	SERF2
ENSG00000231389	HLA-DPA1
ENSG00000104904	OAZ1
ENSG00000120129	DUSP1
ENSG00000026025	VIM
ENSG00000198786	MT-ND5
ENSG00000104529	EEF1D
ENSG00000111640	GAPDH
ENSG00000051523	CYBA
ENSG00000142669	SH3BGRL3
ENSG00000011600	TYROBP
ENSG00000114942	EEF1B2
ENSG00000145741	BTF3
ENSG00000177606	JUN
ENSG00000227507	LTB
ENSG00000130066	SAT1
ENSG00000163131	CTSS
ENSG00000133639	BTG1
ENSG00000169100	SLC25A6
ENSG00000265681	RPL17
ENSG00000092841	MYL6
ENSG00000131143	COX4I1
ENSG00000156467	UQCRB
ENSG00000103187	COTL1
ENSG00000101608	MYL12A
ENSG00000108654	DDX5
ENSG00000181163	NPM1
ENSG00000102879	CORO1A
ENSG00000204592	HLA-E
ENSG00000111348	ARHGDIB
ENSG00000127184	COX7C
ENSG00000167283	ATP5L
ENSG00000105373	GLTSCR2
ENSG00000150991	UBC
ENSG00000179344	HLA-DQB1
ENSG00000065978	YBX1
ENSG00000100097	LGALS1
ENSG00000196683	TOMM7
ENSG00000245532	NEAT1
ENSG00000129824	RPS4Y1
ENSG00000135390	ATP5G2
ENSG00000211592	IGKC
ENSG00000163466	ARPC2
ENSG00000204482	LST1
ENSG00000104894	CD37
ENSG00000136156	ITM2B
ENSG00000111229	ARPC3
ENSG00000232112	TMA7
ENSG00000104408	EIF3E
ENSG00000008517	IL32
ENSG00000158869	FCER1G
ENSG00000162511	LAPTM5
ENSG00000197747	S100A10
ENSG00000197746	PSAP
ENSG00000196735	HLA-DQA1
ENSG00000196262	PPIA
ENSG00000169567	HINT1
ENSG00000188243	COMMD6
ENSG00000204472	AIF1
ENSG00000122862	SRGN
ENSG00000130429	ARPC1B
ENSG00000233276	GPX1
ENSG00000128016	ZFP36
ENSG00000165502	RPL36AL
ENSG00000170315	UBB
ENSG00000143933	CALM2
ENSG00000265972	TXNIP
ENSG00000115523	GNLY
ENSG00000125534	PPDPF
ENSG00000279483	AC090498.1
ENSG00000133872	SARAF
ENSG00000187109	NAP1L1
ENSG00000271503	CCL5
ENSG00000152518	ZFP36L2
ENSG00000140319	SRP14
